
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=3.296788e+00 cycle=0 time=0.000000e+00 dt=5.670273e-03
elapsed=4.514842e+02 cycle=1000 time=5.672186e-03 dt=1.349330e-12
elapsed=8.992406e+02 cycle=2000 time=5.672188e-03 dt=1.675203e-12
elapsed=1.346227e+03 cycle=3000 time=5.672190e-03 dt=3.157150e-12
elapsed=1.792894e+03 cycle=4000 time=5.672194e-03 dt=4.816081e-12
elapsed=2.240173e+03 cycle=5000 time=5.672203e-03 dt=7.518800e-12
elapsed=2.691143e+03 cycle=6000 time=5.672215e-03 dt=1.334996e-11
elapsed=3.142941e+03 cycle=7000 time=5.672232e-03 dt=2.277370e-11
elapsed=3.592138e+03 cycle=8000 time=5.672263e-03 dt=3.782512e-11
elapsed=4.040597e+03 cycle=9000 time=5.672300e-03 dt=4.083352e-11
elapsed=4.488308e+03 cycle=10000 time=5.672345e-03 dt=5.714232e-11
elapsed=4.934903e+03 cycle=11000 time=5.672418e-03 dt=8.161149e-11
elapsed=5.380578e+03 cycle=12000 time=5.672502e-03 dt=8.989349e-11
elapsed=5.826021e+03 cycle=13000 time=5.672598e-03 dt=9.999920e-11
elapsed=6.271472e+03 cycle=14000 time=5.672705e-03 dt=1.129642e-10
elapsed=6.716988e+03 cycle=15000 time=5.672825e-03 dt=1.202333e-10
elapsed=7.162524e+03 cycle=16000 time=5.672938e-03 dt=1.108930e-10
elapsed=7.608146e+03 cycle=17000 time=5.673042e-03 dt=1.161151e-10
elapsed=8.053902e+03 cycle=18000 time=5.673173e-03 dt=1.385708e-10
elapsed=8.499655e+03 cycle=19000 time=5.673311e-03 dt=1.570942e-10
elapsed=8.945453e+03 cycle=20000 time=5.673492e-03 dt=1.947631e-10
elapsed=9.391312e+03 cycle=21000 time=5.673687e-03 dt=1.924930e-10
elapsed=9.837247e+03 cycle=22000 time=5.673873e-03 dt=1.873809e-10
elapsed=1.028346e+04 cycle=23000 time=5.674064e-03 dt=1.942892e-10
elapsed=1.072996e+04 cycle=24000 time=5.674256e-03 dt=2.081381e-10
elapsed=1.117689e+04 cycle=25000 time=5.674475e-03 dt=2.235062e-10
elapsed=1.162448e+04 cycle=26000 time=5.674702e-03 dt=2.226773e-10
elapsed=1.207244e+04 cycle=27000 time=5.674921e-03 dt=2.136117e-10
elapsed=1.252037e+04 cycle=28000 time=5.675142e-03 dt=2.322585e-10
elapsed=1.296777e+04 cycle=29000 time=5.675383e-03 dt=2.409953e-10
elapsed=1.341463e+04 cycle=30000 time=5.675617e-03 dt=2.356533e-10
elapsed=1.386163e+04 cycle=31000 time=5.675865e-03 dt=2.549429e-10
elapsed=1.430877e+04 cycle=32000 time=5.676123e-03 dt=2.550521e-10
elapsed=1.475598e+04 cycle=33000 time=5.676374e-03 dt=2.543727e-10
elapsed=1.520361e+04 cycle=34000 time=5.676626e-03 dt=2.501972e-10
elapsed=1.565138e+04 cycle=35000 time=5.676879e-03 dt=2.570093e-10
elapsed=1.609917e+04 cycle=36000 time=5.677137e-03 dt=2.601381e-10
elapsed=1.654679e+04 cycle=37000 time=5.677394e-03 dt=2.544527e-10
elapsed=1.699428e+04 cycle=38000 time=5.677653e-03 dt=2.667087e-10
elapsed=1.744164e+04 cycle=39000 time=5.677925e-03 dt=2.738027e-10
elapsed=1.788892e+04 cycle=40000 time=5.678199e-03 dt=2.744077e-10
elapsed=1.833594e+04 cycle=41000 time=5.678479e-03 dt=2.898698e-10
elapsed=1.878301e+04 cycle=42000 time=5.678785e-03 dt=3.153277e-10
elapsed=1.923003e+04 cycle=43000 time=5.679105e-03 dt=3.228893e-10
elapsed=1.967690e+04 cycle=44000 time=5.679439e-03 dt=3.394586e-10
elapsed=2.012381e+04 cycle=45000 time=5.679781e-03 dt=3.476351e-10
elapsed=2.057038e+04 cycle=46000 time=5.680133e-03 dt=3.530480e-10
elapsed=2.101672e+04 cycle=47000 time=5.680481e-03 dt=3.459436e-10
elapsed=2.146293e+04 cycle=48000 time=5.680839e-03 dt=3.709086e-10
elapsed=2.190896e+04 cycle=49000 time=5.681216e-03 dt=3.800846e-10
elapsed=2.235486e+04 cycle=50000 time=5.681596e-03 dt=3.805125e-10
elapsed=2.280060e+04 cycle=51000 time=5.681978e-03 dt=3.843449e-10
elapsed=2.324627e+04 cycle=52000 time=5.682364e-03 dt=3.894884e-10
elapsed=2.369185e+04 cycle=53000 time=5.682761e-03 dt=4.038998e-10
elapsed=2.413739e+04 cycle=54000 time=5.683168e-03 dt=4.089970e-10
elapsed=2.458290e+04 cycle=55000 time=5.683584e-03 dt=4.192112e-10
elapsed=2.502837e+04 cycle=56000 time=5.684003e-03 dt=4.201886e-10
elapsed=2.547391e+04 cycle=57000 time=5.684424e-03 dt=4.212111e-10
elapsed=2.591951e+04 cycle=58000 time=5.684847e-03 dt=4.235280e-10
elapsed=2.636516e+04 cycle=59000 time=5.685271e-03 dt=4.262335e-10
elapsed=2.681082e+04 cycle=60000 time=5.685700e-03 dt=4.301881e-10
elapsed=2.725652e+04 cycle=61000 time=5.686132e-03 dt=4.346736e-10
elapsed=2.770236e+04 cycle=62000 time=5.686568e-03 dt=4.353057e-10
elapsed=2.814813e+04 cycle=63000 time=5.687003e-03 dt=4.358226e-10
elapsed=2.859408e+04 cycle=64000 time=5.687441e-03 dt=4.396207e-10
elapsed=2.904000e+04 cycle=65000 time=5.687882e-03 dt=4.431245e-10
elapsed=2.948601e+04 cycle=66000 time=5.688327e-03 dt=4.456943e-10
elapsed=2.993214e+04 cycle=67000 time=5.688773e-03 dt=4.465477e-10
elapsed=3.037819e+04 cycle=68000 time=5.689220e-03 dt=4.485716e-10
elapsed=3.082439e+04 cycle=69000 time=5.689670e-03 dt=4.511962e-10
elapsed=3.127067e+04 cycle=70000 time=5.690122e-03 dt=4.532361e-10
elapsed=3.171690e+04 cycle=71000 time=5.690577e-03 dt=4.565282e-10
elapsed=3.216314e+04 cycle=72000 time=5.691036e-03 dt=4.623007e-10
elapsed=3.260929e+04 cycle=73000 time=5.691499e-03 dt=4.633770e-10
elapsed=3.305552e+04 cycle=74000 time=5.691963e-03 dt=4.643991e-10
elapsed=3.350179e+04 cycle=75000 time=5.692428e-03 dt=4.649741e-10
elapsed=3.394799e+04 cycle=76000 time=5.692893e-03 dt=4.664347e-10
elapsed=3.439421e+04 cycle=77000 time=5.693360e-03 dt=4.677660e-10
elapsed=3.484044e+04 cycle=78000 time=5.693828e-03 dt=4.678232e-10
elapsed=3.528672e+04 cycle=79000 time=5.694296e-03 dt=4.685530e-10
elapsed=3.573300e+04 cycle=80000 time=5.694766e-03 dt=4.700954e-10
elapsed=3.617924e+04 cycle=81000 time=5.695236e-03 dt=4.711272e-10
elapsed=3.662546e+04 cycle=82000 time=5.695708e-03 dt=4.721590e-10
elapsed=3.707166e+04 cycle=83000 time=5.696181e-03 dt=4.738994e-10
elapsed=3.751792e+04 cycle=84000 time=5.696656e-03 dt=4.755081e-10
elapsed=3.796421e+04 cycle=85000 time=5.697132e-03 dt=4.771941e-10
elapsed=3.841055e+04 cycle=86000 time=5.697610e-03 dt=4.789907e-10
elapsed=3.885684e+04 cycle=87000 time=5.698090e-03 dt=4.806414e-10
elapsed=3.930317e+04 cycle=88000 time=5.698572e-03 dt=4.825530e-10
elapsed=3.974951e+04 cycle=89000 time=5.699055e-03 dt=4.836404e-10
elapsed=4.019576e+04 cycle=90000 time=5.699539e-03 dt=4.837742e-10
elapsed=4.064208e+04 cycle=91000 time=5.700022e-03 dt=4.832723e-10
elapsed=4.108847e+04 cycle=92000 time=5.700505e-03 dt=4.825779e-10
elapsed=4.153487e+04 cycle=93000 time=5.700987e-03 dt=4.812104e-10
elapsed=4.198135e+04 cycle=94000 time=5.701467e-03 dt=4.781635e-10
elapsed=4.242786e+04 cycle=95000 time=5.701943e-03 dt=4.727396e-10
elapsed=4.287440e+04 cycle=96000 time=5.702412e-03 dt=4.652090e-10
elapsed=4.332094e+04 cycle=97000 time=5.702872e-03 dt=4.553865e-10
elapsed=4.376753e+04 cycle=98000 time=5.703322e-03 dt=4.454070e-10
elapsed=4.421410e+04 cycle=99000 time=5.703764e-03 dt=4.384158e-10
elapsed=4.466065e+04 cycle=100000 time=5.704204e-03 dt=4.440258e-10
elapsed=4.510714e+04 cycle=101000 time=5.704654e-03 dt=4.527385e-10
elapsed=4.555349e+04 cycle=102000 time=5.705103e-03 dt=4.493439e-10
elapsed=4.599956e+04 cycle=103000 time=5.705564e-03 dt=4.715611e-10
elapsed=4.644554e+04 cycle=104000 time=5.706036e-03 dt=4.733268e-10
elapsed=4.689146e+04 cycle=105000 time=5.706510e-03 dt=4.745425e-10
elapsed=4.733740e+04 cycle=106000 time=5.706984e-03 dt=4.738659e-10
elapsed=4.778336e+04 cycle=107000 time=5.707458e-03 dt=4.731264e-10
elapsed=4.822936e+04 cycle=108000 time=5.707931e-03 dt=4.732542e-10
elapsed=4.867534e+04 cycle=109000 time=5.708406e-03 dt=4.770804e-10
elapsed=4.912130e+04 cycle=110000 time=5.708885e-03 dt=4.816414e-10
elapsed=4.956727e+04 cycle=111000 time=5.709369e-03 dt=4.863618e-10
