
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=3.386103e+00 cycle=0 time=0.000000e+00 dt=5.670248e-03
elapsed=4.560792e+02 cycle=1000 time=7.042261e-03 dt=8.488347e-21
elapsed=9.104086e+02 cycle=2000 time=7.042261e-03 dt=1.426643e-20
elapsed=1.363616e+03 cycle=3000 time=7.042261e-03 dt=1.566662e-20
elapsed=1.816643e+03 cycle=4000 time=7.042261e-03 dt=2.073582e-20
elapsed=2.267840e+03 cycle=5000 time=7.042261e-03 dt=2.270268e-20
elapsed=2.719283e+03 cycle=6000 time=7.042261e-03 dt=2.443912e-20
elapsed=3.171133e+03 cycle=7000 time=7.042261e-03 dt=2.595386e-20
elapsed=3.622838e+03 cycle=8000 time=7.042261e-03 dt=2.744499e-20
elapsed=4.074137e+03 cycle=9000 time=7.042261e-03 dt=2.773796e-20
elapsed=4.525167e+03 cycle=10000 time=7.042261e-03 dt=2.813775e-20
elapsed=4.975611e+03 cycle=11000 time=7.042261e-03 dt=2.802464e-20
elapsed=5.426255e+03 cycle=12000 time=7.042261e-03 dt=2.835314e-20
elapsed=5.877155e+03 cycle=13000 time=7.042261e-03 dt=2.938526e-20
elapsed=6.327815e+03 cycle=14000 time=7.042261e-03 dt=2.886784e-20
elapsed=6.778366e+03 cycle=15000 time=7.042261e-03 dt=2.845748e-20
elapsed=7.228865e+03 cycle=16000 time=7.042261e-03 dt=2.806976e-20
elapsed=7.679155e+03 cycle=17000 time=7.042261e-03 dt=2.755446e-20
elapsed=8.129402e+03 cycle=18000 time=7.042261e-03 dt=2.677955e-20
elapsed=8.579890e+03 cycle=19000 time=7.042261e-03 dt=2.563162e-20
elapsed=9.030555e+03 cycle=20000 time=7.042261e-03 dt=2.410623e-20
elapsed=9.482055e+03 cycle=21000 time=7.042261e-03 dt=2.208827e-20
elapsed=9.933416e+03 cycle=22000 time=7.042261e-03 dt=2.010154e-20
elapsed=1.038470e+04 cycle=23000 time=7.042261e-03 dt=1.871873e-20
elapsed=1.083600e+04 cycle=24000 time=7.042261e-03 dt=1.630415e-20
elapsed=1.128789e+04 cycle=25000 time=7.042261e-03 dt=1.537624e-20
elapsed=1.174057e+04 cycle=26000 time=7.042261e-03 dt=1.404538e-20
elapsed=1.219357e+04 cycle=27000 time=7.042261e-03 dt=1.242781e-20
elapsed=1.264666e+04 cycle=28000 time=7.042261e-03 dt=1.332900e-20
elapsed=1.309999e+04 cycle=29000 time=7.042261e-03 dt=1.203574e-20
elapsed=1.355343e+04 cycle=30000 time=7.042261e-03 dt=1.264268e-20
